ISINGIRO NORTH,ISINGIRO,-0.843543,30.8039474
MWENGE,KYENJOJO,0.7137652,30.6199895
KALUNGU WEST,MASAKA,-0.3380198,31.7402595
BUNYA,MAYUGE,0.2532134,33.5508661
KYOTERA,RAKAI,-0.6358988,31.5455637
PAKANYI,MASINDI,1.7662769,31.7808036
SERERE,SERERE,1.4994033,33.5490078
ARINGA,YUMBE,3.4448673,31.1975236
MATHENIKO,MOROTO,2.7494611,34.597132
PIAN,NAKAPIRIPIRIT,2.0909532,34.597132
JIE,KOTIDO,3.0415679,33.8857747
NAKASEKE,NAKASEKE,1.2230848,32.0837445
KOOKI,RAKAI,-0.676104,31.3084088
MAWOGOLA,SSEMBABULE,-0.0956572,31.3998995
MADERA,SOROTI,1.7435382,33.6203747
BUBULO,MBALE,0.9481283,34.272721
KINKIIZI,KANUNGU,-0.8897256,29.7831356
BUKOTO WEST,LWENGO,-0.3856315,31.321279
BUKOMANSIMBI,BUKOMANSIMBI,-0.1432049,31.6511258
EAST MOYO,ADJUMANI,3.3783808,31.7822278
NDORWA,KABALE,-1.3504705,30.0202964
OYAM SOUTH,OYAM,2.2776281,32.4467238
NTENJERU,MUKONO,0.7280378,32.9437667
MAWOKOTA,MPIGI,0.2273528,32.3249236
LABWOR,ABIM,2.706698,33.6595337
WEST MOYO,MOYO,3.6359877,31.7651362
BUGANGAIZI,KIBAALE,0.7682547,31.0776593
BUSEMBATIA,IGANGA,0.775995,33.6259699
BUYAGA,KIBAALE,0.9751723,30.8039474
KAGADI,KIBAALE,0.9400761,30.8125638
RUBANDA,KABALE,-1.1681854,29.8583772
BAMUNANIKA,LUWERO,0.685658,32.6065484
BUHAGUZI,HOIMA,1.372995,30.8039474
KABWOHE,BUSHENYI,-0.5781664,30.3810199
BUSIRO EAST,WAKISO,0.2209922,32.4920088
PIAN,NAKAPIRIPIRIT,2.0909532,34.597132
BUKOTO,MASAKA,-0.3267383,31.7537404
NAKASONGOLA,NAKASONGOLA,1.3118981,32.463708
NTENJERU,KAYUNGA,0.7280378,32.9437667
KATIKAMU,LUWERO,0.8606339,32.4920088
BUSIKI,IGANGA,0.849261,33.6623301
BUSIKI,IGANGA,0.849261,33.6623301
LUUKA,IGANGA,0.7250599,33.3037143
BUZAAYA,KAMULI,0.7742913,33.1463992
KAKUUTO,RAKAI,-0.869223,31.5826642
NTENJERU,KAYUNGA,0.7280378,32.9437667
RUBABO,RUKUNGIRI,-0.9506973,29.9277947
ERUTE SOUTH,LIRA,2.2316169,32.9437667
BUKOTO SOUTH,LWENGO,-0.3856315,31.321279
MAWOKOTA,MPIGI,0.2273528,32.3249236
LWEMIYAGA,SSEMBABULE,0.0638953,31.1710389
KINKIIZI WEST,KANUNGU,-0.8897256,29.7831356
RUBABO,RUKUNGIRI,-0.9506973,29.9277947
BURULI,MASINDI,1.3489721,32.4467238
